initial_quantity,location_0,shipping_6,available_quantity,seller_cancellations_rate,seller_sales_completed,catalog_listing,seller_transactions_canceled,location_4,shipping_local_pick_up,original_price,base_price,health,seller_cancellations_value,seller_address,eshop_seller,seller_id,shipping_3,seller_transactions_completed,eshop_id,seller_transactions_total,eshop_1,order_backend,installments_amount,category_2,sales_potential_1,revenue_potential_1,sales_rate_1,influence_zone_1,efectiveness_1,revenue_1,reputation_1,sales_potential_2,revenue_potential_2,sales_rate_2,influence_zone_2,efectiveness_2,revenue_2,reputation_2,sales_potential_3,revenue_potential_3,sales_rate_3,influence_zone_3,efectiveness_3,revenue_3,reputation_3,sales_potential_4,revenue_potential_4,sales_rate_4,influence_zone_4,efectiveness_4,revenue_4,reputation_4,sales_potential_5,revenue_potential_5,sales_rate_5,influence_zone_5,efectiveness_5,revenue_5,reputation_5,initial_quantity_category_2,available_quantity_category_2,original_price_category_2,health_category_2,seller_cancellations_rate_category_2,initial_quantity_location_0,available_quantity_location_0,original_price_location_0,health_location_0,seller_cancellations_rate_location_0,initial_quantity_category_2_comparative,available_quantity_category_2_comparative,original_price_category_2_comparative,health_category_2_comparative,seller_cancellations_rate_category_2_comparative,initial_quantity_location_0_comparative,available_quantity_location_0_comparative,original_price_location_0_comparative,health_location_0_comparative,seller_cancellations_rate_location_0_comparative,sold_quantity
500,1,3190.0,458,0.0069,9696552,True,4,6202,0,45732,True,1,2,189447698,49191,3459,115789.0,0.8071538461538463,3030.5,0,6,9696552.0,0,429.75,3.1602,144525.4266,0.916,738026737.0,inf,22866500,3313985507.246377,9.98686404,208601610675.02798,0.839056,5.446834645268672e+17,inf,522876822250000,1.0982499942239027e+19,31.560487739208003,3.0069083587614556e+18,0.7685752960000001,4.01990960022619e+26,inf,2872696215835552832,3.639584564191431e+28,99.73745335344513,4.328643951177278e+26,0.7040149711360001,2.9668007652899097e+35,inf,2861061356009832704,1.2061530498128022e+38,315.1903000875573,6.2231844695699624e+35,0.6448777135605761,2.1895782881360147e+44,inf,-6718112434143673344,3.997173726600644e+47,500.0,458.0,45732.0,1.0,0.0069,4135.038461538462,1065.6121794871794,46639.846153846156,26.740384615384617,0.0033977564102564096,1.0,1.0,1.0,1.0,1.0,0.12091785956785817,0.42979989232143556,0.9805349667996002,0.037396619920891765,2.030751815866428,42
1840,1,3959.0,200,0.0072,179035500,False,4,20566,1,135875,False,48,1,160439163,145532,9657,198079.0,0.75,3299.0,0,0,179035500.0,0,467.83,1.44,195660.0,0.10869565217391304,4155336113.0,inf,250010000,1666733333333.3335,2.0736,79383287900.15997,0.011814744801512287,1.726681821200195e+19,inf,62505000100000000,2.778000004444445e+24,2.9859839999999997,6.678533367351719e+16,0.0012842113914687267,7.174943327293779e+28,inf,-7465880941008220160,4.630185207407705e+36,4.299816959999999,1.1650863171386998e+23,0.0001395881947248616,2.9814301116632216e+38,inf,-8469975842496118784,7.717284024693336e+48,6.191736422399999,4.214636149651582e+29,1.5172629861398e-05,1.2388844211379807e+48,inf,-3685291932066512896,1.2862654526757208e+61,1692.75,75.5,59802.0,34.25,0.003225,4135.038461538462,1065.6121794871794,46639.846153846156,26.740384615384617,0.0033977564102564096,1.0869886279722345,2.6490066225165565,2.2720812012976155,1.4014598540145986,2.2325581395348837,0.444977723209718,0.1876855424984435,2.9132814793557174,1.7950377562028046,2.119045373078012,500
219,1,3499.0,1,0.0,39542483,False,4,1634,0,13807,False,12,1,278652082,14602,795,106246.0,0.75,3499.0,0,0,39542483.0,0,496.19,0.0,0.0,0.0045662100456621,179433075.0,inf,3023733,inf,0.0,0.0,2.0850274181105478e-05,3.2196228403955624e+16,inf,9142961255289,inf,0.0,0.0,9.520673142057296e-08,5.7770682659241e+24,inf,9199129591629222221,inf,0.0,0.0,4.3473393342727376e-10,1.036597123439679e+33,inf,-4544052313920934095,inf,0.0,0.0,1.9850864540058163e-12,1.8599980939493617e+41,inf,1047741250578646117,inf,2119.0,193.5,103473.25,30.5,0.00585,4135.038461538462,1065.6121794871794,46639.846153846156,26.740384615384617,0.0033977564102564096,0.10335063709296838,0.00516795865633075,0.13343545312435823,0.39344262295081966,0.0,0.05296202249072188,0.0009384277124922174,0.2960344241800507,0.44875943905070115,0.0,500
269,1,3499.0,223,0.0154,4641264,True,4,24662,0,197412,False,37,1,99737582,209375,11963,1118.0,0.8071538461538463,3499.0,0,0,4641264.0,0,496.19,3.4342,677952.2904,0.828996282527881,113869071.0,inf,53103828,127587119220.77922,11.79372964,5420625856567.072,0.6872348364450463,1.296616533040304e+16,inf,2820016548253584,1.6278472991057331e+22,40.50202632968801,5.111529836957904e+20,0.5697151246365998,1.4764452006054024e+24,inf,3005345237885100864,2.076923474242266e+33,139.09205882141455,5.684647449749728e+29,0.47229172042364964,1.681214433753458e+32,inf,-8621106047190159104,2.64988682920583e+44,477.6699484045019,7.456024719105387e+39,0.39152808049990284,1.914383257232973e+40,inf,-3308204710684748800,3.3809142679945683e+55,2119.0,193.5,103473.25,30.5,0.00585,4135.038461538462,1065.6121794871794,46639.846153846156,26.740384615384617,0.0033977564102564096,0.1269466729589429,1.152454780361757,1.9078554119059756,1.2131147540983607,2.6324786324786325,0.06505380844750769,0.20926937988576447,4.232689776651855,1.3836749370729953,4.53240260352797,500
8539,1,899.0,500,0.0005,531469359,False,4,6573,0,12372,True,9,0,1139867622,12565,193,241992.08632138115,0.8,899.0,0,6,155885256.87782204,0,127.49,0.25,3093.25,0.058554865909357066,1596766001.4767597,inf,105653047,1901754846000.0,0.0625,598012.22265625,0.0034286723216627865,2.5496616634720794e+18,inf,11162566340384209,3.616671494284484e+24,0.015625,7225786.358325958,0.00020076544804208842,4.071213059500896e+27,inf,3457336758068069095,6.878022540645578e+36,0.00390625,5456827.06369428,1.175579388933648e-05,6.500774598179211e+36,inf,-1954722180900326239,1.308031269756996e+49,0.0009765625,257558.14078937273,6.883589348481369e-07,1.0380215861636307e+46,inf,-4945726088081862249,2.4875548059799005e+61,12637.857142857143,4146.714285714285,73828.64285714286,26.071428571428573,0.002635714285714286,4135.038461538462,1065.6121794871794,46639.846153846156,26.740384615384617,0.0033977564102564096,0.675668343412649,0.12057739346126022,0.16757723725112494,0.34520547945205476,0.18970189701897017,2.0650352056998815,0.4692138562461087,0.265266741215006,0.3365695792880259,0.14715592868597305,250
790,1,5999.0,1,0.0033,54152646,False,4,10111,0,56006,False,44,0,131238455,59894,3888,241992.08632138115,0.9,5999.0,0,0,155885256.87782204,0,850.71,0.0033,184.8198,0.0012658227848101266,2507685864.8818064,inf,44244740,589929866666.6666,1.0889999999999999e-05,0.37198452376051555,1.602307322544464e-06,6.288488396928013e+18,inf,1957597017667600,3.4801724758535105e+23,3.5937e-08,8.153219360911583e-09,2.0282371171448914e-09,1.5769553464449628e+28,inf,5907645412023586880,2.0530576846572646e+35,1.185921e-10,1.94608256721575e-21,2.567388755879609e-12,3.9545086318298255e+37,inf,6756848634886553856,1.2111600461688354e+47,3.9135393e-13,5.05849444342608e-39,3.2498591846577334e-15,9.916665398592745e+46,inf,-6938350793101999104,7.144994845483749e+58,3364.0,250.5,93843.0,45.0,0.005600000000000001,4135.038461538462,1065.6121794871794,46639.846153846156,26.740384615384617,0.0033977564102564096,0.2348394768133175,0.003992015968063872,0.5968053024732798,0.9777777777777777,0.5892857142857142,0.1910502181172159,0.0009384277124922174,1.200818712292889,1.6454512765192375,0.9712291293274221,250
28503,1,655.0,500,0.0,679055037,False,4,12563,0,22746,False,7,0,1144525332,24205,1459,241992.08632138115,0.85,655.0,0,0,155885256.87782204,0,92.88,0.0,0.0,0.017542013121425816,3048617992.541833,inf,648329238,inf,0.0,0.0,0.0003077222243522755,9.294071664449796e+18,inf,420330800845660644,inf,0.0,0.0,5.398067297341956e-06,2.833407410021487e+28,inf,-6256534304776271464,inf,0.0,0.0,9.469296736031217e-08,8.637976810392858e+37,inf,4297571573094191888,inf,0.0,0.0,1.6611052759413427e-09,2.633389152332278e+47,inf,-5500988093251968160,inf,28503.0,500.0,22746.0,7.0,0.0,4135.038461538462,1065.6121794871794,46639.846153846156,26.740384615384617,0.0033977564102564096,1.0,1.0,1.0,1.0,1.0,6.893043502525322,0.4692138562461087,0.48769457611352457,0.26177633944624235,0.0,250
565,1,990.0,50,0.0,20861971,False,7,461,0,970,False,11,0,57171875,1001,31,241992.08632138115,0.87,891.0,0,0,155885256.87782204,0,148.5,0.0,0.0,0.08849557522123894,112257723.8804781,inf,548050,inf,0.0,0.0,0.00783146683373796,1.2601796570825662e+16,inf,300358802500,inf,0.0,0.0,0.0006930501622776955,1.414648999845703e+24,inf,164611641710125000,inf,0.0,0.0,6.133187276793765e-05,1.5880527681247344e+32,inf,-7615025279410703856,inf,0.0,0.0,5.427599359994482e-06,1.7827118915177533e+40,inf,-4778400913581125344,inf,565.0,50.0,970.0,11.0,0.0,4135.038461538462,1065.6121794871794,46639.846153846156,26.740384615384617,0.0033977564102564096,1.0,1.0,1.0,1.0,1.0,0.13663718131167973,0.04692138562461087,0.02079766723072711,0.4113628191298094,0.0,250
221,1,999.0,1,0.0,28046669,False,7,93,0,724,True,18,1,184680120,777,53,246876.0,0.77,999.0,0,0,28046669.0,0,141.67,0.0,0.0,0.004524886877828055,23300250.0,inf,160225,inf,0.0,0.0,2.0474601257140522e-05,542901650062500.0,inf,25672050625,inf,0.0,0.0,9.264525455719694e-08,1.2649744171868766e+22,inf,4113304311390625,inf,0.0,0.0,4.192092966389002e-10,2.947422016405852e+29,inf,-5028603360980967551,inf,0.0,0.0,1.896874645424888e-12,6.867566983776046e+36,inf,8914138310269624673,inf,3349.1052631578946,203.0,87628.84210526316,22.789473684210527,0.0030684210526315788,4135.038461538462,1065.6121794871794,46639.846153846156,26.740384615384617,0.0033977564102564096,0.0659877736394638,0.0049261083743842365,0.008262119898038857,0.789838337182448,0.0,0.05344569392899331,0.0009384277124922174,0.015523207293862296,0.6731391585760518,0.0,250
1600,1,999.0,500,0.0,2423700,False,4,4450,0,10509,True,9,1,1031465705,11063,554,360444.0,0.77,999.0,2,0,2423700.0,0,141.67,0.0,0.0,0.3125,1608782793.0,0.385,16816000,inf,0.0,0.0,0.09765625,2.588182075052881e+18,0.148225,282777856000000,inf,0.0,0.0,0.030517578125,4.163822787496109e+27,0.057066625,-4067544521064316928,inf,0.0,0.0,0.0095367431640625,6.698686453625036e+36,0.021970650625,-2617177337032081408,inf,0.0,0.0,0.0029802322387695312,1.077673150229415e+46,0.008458700490625,-9174290421906407424,inf,3349.1052631578946,203.0,87628.84210526316,22.789473684210527,0.0030684210526315788,4135.038461538462,1065.6121794871794,46639.846153846156,26.740384615384617,0.0033977564102564096,0.4777395376612764,2.4630541871921183,0.11992626796752812,0.394919168591224,0.0,0.3869371506171461,0.4692138562461087,0.22532235559557856,0.3365695792880259,0.0,250
