id,name,picture,permalink,total_items_in_this_category,path_from_root,children_categories,attribute_types,meta_categ_id,attributable,date_created,settings.adult_content,settings.buying_allowed,settings.buying_modes,settings.catalog_domain,settings.coverage_areas,settings.currencies,settings.fragile,settings.immediate_payment,settings.item_conditions,settings.items_reviews_allowed,settings.listing_allowed,settings.max_description_length,settings.max_pictures_per_item,settings.max_pictures_per_item_var,settings.max_sub_title_length,settings.max_title_length,settings.maximum_price,settings.minimum_price,settings.mirror_category,settings.mirror_master_category,settings.mirror_slave_categories,settings.price,settings.reservation_allowed,settings.restrictions,settings.rounded_address,settings.seller_contact,settings.shipping_modes,settings.shipping_options,settings.shipping_profile,settings.show_contact_information,settings.simple_shipping,settings.stock,settings.sub_vertical,settings.subscribable,settings.tags,settings.vertical,settings.vip_subdomain,settings.buyer_protection_programs,settings.status
MLA6867,Estéreos,http://resources.mlstatic.com/category/images/4aa580a8-7fe9-4e40-a6fc-8f06615f2f7d.png,,6214,"[{'id': 'MLA5725', 'name': 'Accesorios para Vehículos'}, {'id': 'MLA3381', 'name': 'Audio para Vehículos'}, {'id': 'MLA437346', 'name': 'Reproductores'}, {'id': 'MLA6867', 'name': 'Estéreos'}]",[],attributes,,False,2018-04-25T08:12:56.000Z,False,True,"['auction', 'buy_it_now']",MLA-VEHICLE_STEREOS,not_allowed,['ARS'],False,required,"['used', 'not_specified', 'new']",False,True,50000,12,10,70,60,,33,,,[],required,not_allowed,[],False,not_allowed,"['not_specified', 'custom', 'me1', 'me2']","['carrier', 'custom']",optional,False,optional,required,car_audio,False,[],vehicle_parts_accessories,articulo,"['delivered', 'undelivered']",enabled
MLA373345,Llaves Telecomando,,,6188,"[{'id': 'MLA5725', 'name': 'Accesorios para Vehículos'}, {'id': 'MLA1747', 'name': 'Repuestos Autos y Camionetas'}, {'id': 'MLA373344', 'name': 'Cerraduras y Llaves'}, {'id': 'MLA373345', 'name': 'Llaves Telecomando'}]",[],attributes,,False,2018-04-25T08:12:56.000Z,False,True,"['auction', 'buy_it_now']",MLA-AUTOMOTIVE_IGNITION_KEYS,not_allowed,['ARS'],False,required,['new'],False,True,50000,12,10,70,60,,33,,,[],required,not_allowed,[],False,not_allowed,"['me2', 'me1', 'custom', 'not_specified']","['carrier', 'custom']",optional,False,optional,required,car_parts,False,[],vehicle_parts_accessories,articulo,"['delivered', 'undelivered']",enabled
MLA72284,Fundas Cobertoras,,,7226,"[{'id': 'MLA5725', 'name': 'Accesorios para Vehículos'}, {'id': 'MLA6520', 'name': 'Accesorios de Auto y Camioneta'}, {'id': 'MLA86014', 'name': 'Accesorios de Exterior'}, {'id': 'MLA45542', 'name': 'Fundas de Autos'}, {'id': 'MLA72284', 'name': 'Fundas Cobertoras'}]",[],none,,False,2018-04-25T08:12:56.000Z,False,True,"['auction', 'buy_it_now']",MLA-CARS_AND_VANS_COVERS,not_allowed,['ARS'],False,required,"['used', 'not_specified', 'new']",False,True,50000,12,10,70,60,,33,,,[],required,not_allowed,[],False,not_allowed,"['me2', 'me1', 'not_specified', 'custom']","['carrier', 'custom']",optional,False,optional,required,car_exterior_accessories,False,[],vehicle_parts_accessories,articulo,"['delivered', 'undelivered']",enabled
MLA373298,Kits de Distribución,,,184157,"[{'id': 'MLA5725', 'name': 'Accesorios para Vehículos'}, {'id': 'MLA1747', 'name': 'Repuestos Autos y Camionetas'}, {'id': 'MLA3172', 'name': 'Motor'}, {'id': 'MLA373292', 'name': 'Distribución'}, {'id': 'MLA373298', 'name': 'Kits de Distribución'}]",[],attributes,,False,2018-04-25T08:12:56.000Z,False,True,"['auction', 'buy_it_now']",MLA-DISTRIBUTION_KITS,not_allowed,['ARS'],False,required,['new'],False,True,50000,12,10,70,60,,33,,,[],required,not_allowed,[],False,not_allowed,"['not_specified', 'custom', 'me1', 'me2']","['carrier', 'custom']",optional,False,optional,required,car_engine,False,[],vehicle_parts_accessories,articulo,"['delivered', 'undelivered']",enabled
MLA72278,Fundas para Asientos,,,61216,"[{'id': 'MLA5725', 'name': 'Accesorios para Vehículos'}, {'id': 'MLA6520', 'name': 'Accesorios de Auto y Camioneta'}, {'id': 'MLA86024', 'name': 'Accesorios de Interior'}, {'id': 'MLA72278', 'name': 'Fundas para Asientos'}]",[],variations,,False,2018-04-25T08:12:56.000Z,False,True,"['auction', 'buy_it_now']",MLA-CAR_SEAT_COVERS,not_allowed,['ARS'],False,required,"['used', 'not_specified', 'new']",False,True,50000,12,10,70,60,,33,MLA86420,,['MLA86420'],required,not_allowed,[],False,not_allowed,"['me1', 'not_specified', 'custom', 'me2']","['carrier', 'custom']",optional,False,optional,required,car_accesories,False,[],vehicle_parts_accessories,articulo,"['delivered', 'undelivered']",enabled
MLA455216,Dispositivos para TelePASE,,,0,"[{'id': 'MLA5725', 'name': 'Accesorios para Vehículos'}, {'id': 'MLA455216', 'name': 'Dispositivos para TelePASE'}]",[],none,,False,2020-11-17T17:52:33.968Z,False,True,"['auction', 'buy_it_now']",MLA-TOLL_TAGS,not_allowed,['ARS'],False,required,"['used', 'not_specified', 'new']",False,True,50000,12,10,70,60,,33,,,[],required,not_allowed,[],False,not_allowed,"['not_specified', 'custom']","['carrier', 'custom']",optional,False,optional,required,vehicle_parts_accessories,False,[],vehicle_parts_accessories,articulo,"['delivered', 'undelivered']",enabled
MLA7446,Pantallas,,,2156,"[{'id': 'MLA5725', 'name': 'Accesorios para Vehículos'}, {'id': 'MLA3381', 'name': 'Audio para Vehículos'}, {'id': 'MLA7446', 'name': 'Pantallas'}]",[],variations,,False,2018-04-25T08:12:56.000Z,False,True,"['auction', 'buy_it_now']",MLA-CAR_SCREENS,not_allowed,['ARS'],False,required,"['used', 'not_specified', 'new']",False,True,50000,12,10,70,60,,33,,,[],required,not_allowed,[],False,not_allowed,"['not_specified', 'me2', 'me1', 'custom']","['carrier', 'custom']",optional,False,optional,required,car_audio,False,[],vehicle_parts_accessories,articulo,"['delivered', 'undelivered']",enabled
MLA433673,Hidráulicos,,,4178,"[{'id': 'MLA5725', 'name': 'Accesorios para Vehículos'}, {'id': 'MLA2227', 'name': 'Herramientas'}, {'id': 'MLA455303', 'name': 'Elevación'}, {'id': 'MLA60568', 'name': 'Críquets'}, {'id': 'MLA433673', 'name': 'Hidráulicos'}]",[],attributes,,False,2019-05-22T10:15:55.000Z,False,True,"['auction', 'buy_it_now']",MLA-HYDRAULIC_VEHICLE_JACKS,not_allowed,['ARS'],False,required,"['used', 'not_specified', 'new']",False,True,50000,12,10,70,60,,33,,,[],required,not_allowed,[],False,not_allowed,"['not_specified', 'custom']","['carrier', 'custom']",optional,False,optional,required,vehicle_parts_accessories,False,[],vehicle_parts_accessories,articulo,"['delivered', 'undelivered']",enabled
MLA403345,Fundas Cubre Ruedas,,,692,"[{'id': 'MLA5725', 'name': 'Accesorios para Vehículos'}, {'id': 'MLA6520', 'name': 'Accesorios de Auto y Camioneta'}, {'id': 'MLA86014', 'name': 'Accesorios de Exterior'}, {'id': 'MLA45542', 'name': 'Fundas de Autos'}, {'id': 'MLA403345', 'name': 'Fundas Cubre Ruedas'}]",[],attributes,,False,2018-04-25T08:12:56.000Z,False,True,"['auction', 'buy_it_now']",MLA-AUTOMOTIVE_SPARE_TIRE_COVERS,not_allowed,['ARS'],False,required,"['used', 'not_specified', 'new']",False,True,50000,12,10,70,60,,33,,,[],required,not_allowed,[],False,not_allowed,"['custom', 'me1', 'not_specified', 'me2']","['carrier', 'custom']",optional,False,optional,required,car_exterior_accessories,False,[],vehicle_parts_accessories,articulo,"['delivered', 'undelivered']",enabled
MLA85998,Cables de Bujía,,,45087,"[{'id': 'MLA5725', 'name': 'Accesorios para Vehículos'}, {'id': 'MLA1747', 'name': 'Repuestos Autos y Camionetas'}, {'id': 'MLA22260', 'name': 'Encendido'}, {'id': 'MLA85998', 'name': 'Cables de Bujía'}]",[],variations,,False,2018-04-25T08:12:56.000Z,False,True,"['auction', 'buy_it_now']",MLA-SPARK_PLUG_WIRESETS,not_allowed,['ARS'],False,required,['new'],False,True,50000,12,10,70,60,,33,MLA437389,,['MLA437389'],required,not_allowed,[],False,not_allowed,"['custom', 'not_specified', 'me1', 'me2']","['carrier', 'custom']",optional,False,optional,required,car_ignition,False,[],vehicle_parts_accessories,articulo,"['delivered', 'undelivered']",enabled
